"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"svdImpute",0.3,"MNARMAR",0.15,0,0.15,1,26,200,5200,0.878348588943481,5.07473318359427
"PPCA",0.3,"MNARMAR",0.1,0.1,0.1,1,26,200,5200,0.878348588943481,NA
"RF",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,2.81688094139099,1.2337032520723
"min",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,0.0805490016937256,1.38800795694965
"mean",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,0.0800642967224121,1.2268874513232
"LLS",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,5.85659289360046,404.293058470445
"KNNImpute",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,5.85659289360046,NA
"BPCA",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,0.344272375106812,1.2268874513232
"svdImpute",0.3,"MNARMARMCAR",0.1,0.1,0.1,1,26,200,5200,0.520327091217041,2.6256594507703
"PPCA",0.4,"MNARMARMCAR",0,0.4,0,1,26,200,5200,0.520327091217041,NA
"RF",0.4,"MCAR",0,0.4,0,1,26,200,5200,3.53528952598572,1.03872094228942
"min",0.4,"MCAR",0,0.4,0,1,26,200,5200,0.0792927742004395,1.95224429212159
"mean",0.4,"MCAR",0,0.4,0,1,26,200,5200,0.0756509304046631,1.02340661866644
"LLS",0.4,"MCAR",0,0.4,0,1,26,200,5200,5.76809501647949,130.620962821801
"KNNImpute",0.4,"MCAR",0,0.4,0,1,26,200,5200,0.00135302543640137,1.07890786936962
"BPCA",0.4,"MCAR",0,0.4,0,1,26,200,5200,0.36469030380249,1.02340661866644
"svdImpute",0.4,"MCAR",0,0.4,0,1,26,200,5200,4.10618472099304,50.7291553428783
"PPCA",0.4,"MCAR",0.4,0,0,1,26,200,5200,4.10618472099304,NA
"RF",0.4,"MCAR",0.4,0,0,1,26,200,5200,4.10618472099304,NA
"min",0.4,"MNAR",0.4,0,0,1,26,200,5200,0.0773932933807373,1.64240243539498
"mean",0.4,"MNAR",0.4,0,0,1,26,200,5200,0.0759372711181641,2.51205704247215
"LLS",0.4,"MNAR",0.4,0,0,1,26,200,5200,5.62591242790222,3.64858494804461
"KNNImpute",0.4,"MNAR",0.4,0,0,1,26,200,5200,5.62591242790222,NA
"BPCA",0.4,"MNAR",0.4,0,0,1,26,200,5200,0.365047454833984,2.51205704247215
"svdImpute",0.4,"MNAR",0.4,0,0,1,26,200,5200,3.82163190841675,26.5181562740821
"PPCA",0.4,"MNAR",0,0,0.4,1,26,200,5200,3.82163190841675,NA
"RF",0.4,"MAR",0,0,0.4,1,26,200,5200,5.93206429481506,1.05046158362102
"min",0.4,"MAR",0,0,0.4,1,26,200,5200,0.0818734169006348,1.98247842393365
"mean",0.4,"MAR",0,0,0.4,1,26,200,5200,0.0756635665893555,1.0361447550303
"LLS",0.4,"MAR",0,0,0.4,1,26,200,5200,5.69073104858398,2.01501337965353
"KNNImpute",0.4,"MAR",0,0,0.4,1,26,200,5200,5.69073104858398,NA
"BPCA",0.4,"MAR",0,0,0.4,1,26,200,5200,0.368659257888794,1.0361447550303
"svdImpute",0.4,"MAR",0,0,0.4,1,26,200,5200,0.721907138824463,389.402933983155
"PPCA",0.4,"MAR",0.2,0.2,0,1,26,200,5200,0.721907138824463,NA
"RF",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,2.34953832626343,1.4777311181926
"min",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,0.0750117301940918,1.19394083852092
"mean",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,0.0812828540802002,1.47277462474835
"LLS",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,5.63100957870483,355730.630243661
"KNNImpute",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,5.63100957870483,NA
"BPCA",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,0.365649461746216,1.47277462474835
"svdImpute",0.4,"MNARMCAR",0.2,0.2,0,1,26,200,5200,1.03352761268616,132.462214648432
