"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"RF",0.8," MAR  MCAR ",0,0.4,0.4,1,75,1000,75000,13.8346071243286,1.03546707166222
"min",0.8," MAR  MCAR ",0,0.4,0.4,1,75,1000,75000,0.318922519683838,2.16725695949413
"mean",0.8," MAR  MCAR ",0,0.4,0.4,1,75,1000,75000,0.333125114440918,1.02567254826673
"LLS",0.8," MAR  MCAR ",0,0.4,0.4,1,75,1000,75000,2.15514523983002,1.59506104783599
"KNNImpute",0.8," MAR  MCAR ",0,0.4,0.4,1,75,1000,75000,0.0197498798370361,1.22250437869891
"BPCA",0.8," MAR  MCAR ",0,0.4,0.4,1,75,1000,75000,7.2611927986145,1.02567254826673
"PPCA",0.8," MAR  MCAR ",0.4,0,0.4,1,75,1000,75000,7.2611927986145,NA
"RF",0.8," MNAR  MAR ",0.4,0,0.4,1,75,1000,75000,15.9955036640167,1.22033827860429
"min",0.8," MNAR  MAR ",0.4,0,0.4,1,75,1000,75000,0.322328805923462,1.1412648916851
"mean",0.8," MNAR  MAR ",0.4,0,0.4,1,75,1000,75000,0.328935623168945,1.22400139492653
"LLS",0.8," MNAR  MAR ",0.4,0,0.4,1,75,1000,75000,0.328935623168945,NA
"KNNImpute",0.8," MNAR  MAR ",0.4,0,0.4,1,75,1000,75000,0.0201268196105957,1.28596024978156
"BPCA",0.8," MNAR  MAR ",0.4,0,0.4,1,75,1000,75000,7.50295042991638,1.22400139492653
"PPCA",0.8," MNAR  MAR ",0.27,0.27,0.27,1,75,1000,75000,7.50295042991638,NA
"RF",0.8," MNAR  MAR  MCAR ",0.27,0.27,0.27,1,75,1000,75000,14.2975244522095,1.15403554340776
"min",0.8," MNAR  MAR  MCAR ",0.27,0.27,0.27,1,75,1000,75000,0.324081897735596,1.25028028719181
"mean",0.8," MNAR  MAR  MCAR ",0.27,0.27,0.27,1,75,1000,75000,0.334521293640137,1.15416155871962
"LLS",0.8," MNAR  MAR  MCAR ",0.27,0.27,0.27,1,75,1000,75000,0.334521293640137,NA
"KNNImpute",0.8," MNAR  MAR  MCAR ",0.27,0.27,0.27,1,75,1000,75000,0.0173289775848389,1.2369609899745
"BPCA",0.8," MNAR  MAR  MCAR ",0.27,0.27,0.27,1,75,1000,75000,7.14717245101929,1.15416155871962
"PPCA",0.1," MCAR ",0,0.1,0,2,75,1000,75000,9.33900133768717,1.03085655933707
"RF",0.1," MCAR ",0,0.1,0,2,75,1000,75000,3.00289132197698,1.01397880170074
"min",0.1," MCAR ",0,0.1,0,2,75,1000,75000,0.320711612701416,2.62434249955917
"mean",0.1," MCAR ",0,0.1,0,2,75,1000,75000,0.331868410110474,1.00743371982313
"LLS",0.1," MCAR ",0,0.1,0,2,75,1000,75000,6.26219994227091,1.56869775462116
"KNNImpute",0.1," MCAR ",0,0.1,0,2,75,1000,75000,0.0186493396759033,1.04778092525662
"BPCA",0.1," MCAR ",0,0.1,0,2,75,1000,75000,4.48960471153259,1.00743371982313
"PPCA",0.1," MNAR ",0.1,0,0,2,75,1000,75000,8.21132603883743,3.0031095521947
"RF",0.1," MNAR ",0.1,0,0,2,75,1000,75000,2.29226677815119,3.01721432511856
"min",0.1," MNAR ",0.1,0,0,2,75,1000,75000,0.319475412368774,1.2082785685332
"mean",0.1," MNAR ",0.1,0,0,2,75,1000,75000,0.334010601043701,2.99039657427483
"LLS",0.1," MNAR ",0.1,0,0,2,75,1000,75000,5.37252821524938,7.16441563813936
"KNNImpute",0.1," MNAR ",0.1,0,0,2,75,1000,75000,0.0208709239959717,3.01986720599378
"BPCA",0.1," MNAR ",0.1,0,0,2,75,1000,75000,4.68532752990723,2.99039657427483
"PPCA",0.1," MAR ",0,0,0.1,2,75,1000,75000,8.97996307214101,1.03476255961395
"RF",0.1," MAR ",0,0,0.1,2,75,1000,75000,2.38099477291107,1.01619258322653
"min",0.1," MAR ",0,0,0.1,2,75,1000,75000,0.327913999557495,2.54997823765394
"mean",0.1," MAR ",0,0,0.1,2,75,1000,75000,0.331031322479248,1.0089291607375
"LLS",0.1," MAR ",0,0,0.1,2,75,1000,75000,5.51267722050349,2.91051952994992
"KNNImpute",0.1," MAR ",0,0,0.1,2,75,1000,75000,0.0206243991851807,1.05856654605851
"BPCA",0.1," MAR ",0,0,0.1,2,75,1000,75000,4.60627293586731,1.0089291607375
"PPCA",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,10.4710876027743,1.38965146350766
"RF",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,2.873024781545,1.3886224457887
"min",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,0.319786071777344,1.41057440224445
"mean",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,0.332289457321167,1.37934859510209
"LLS",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,6.21732291777929,3.40870154840123
"KNNImpute",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,0.0185232162475586,1.39923244152356
"BPCA",0.1," MNAR  MCAR ",0.05,0.05,0,2,75,1000,75000,4.61130046844482,1.37934859510209
"PPCA",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,10.7025321483612,1.04344280353188
"RF",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,2.89197423458099,1.01649408729349
"min",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,0.318967819213867,2.54221400984685
"mean",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,0.333805084228516,1.00907715365763
"LLS",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,6.32854165633519,2.94874701063973
"KNNImpute",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,0.0206801891326904,1.06080779409972
"BPCA",0.1," MAR  MCAR ",0,0.05,0.05,2,75,1000,75000,4.66550540924072,1.00907715365763
"PPCA",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,8.67337203423182,1.3327782072762
"RF",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,2.31877069075902,1.33208825568814
"min",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,0.323787689208984,1.42134984092344
"mean",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,0.341540575027466,1.3229856574408
"LLS",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,5.48023227055868,6.78436652897523
"KNNImpute",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,0.0190713405609131,1.3403947153994
"BPCA",0.1," MNAR  MAR ",0.05,0,0.05,2,75,1000,75000,4.61531805992126,1.3229856574408
"PPCA",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,10.270843633016,1.20652275748734
"RF",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,2.85345491568247,1.19959841903429
"min",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,0.319731950759888,1.64712468143653
"mean",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,0.332738161087036,1.19372263636984
"LLS",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,6.14982866843541,4.27430309033101
"KNNImpute",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,0.018197774887085,1.21003518564918
"BPCA",0.1," MNAR  MAR  MCAR ",0.03,0.03,0.03,2,75,1000,75000,4.55550456047058,1.19372263636984
"PPCA",0.3," MCAR ",0,0.3,0,2,75,1000,75000,14.4368675589561,1.03699523414104
"RF",0.3," MCAR ",0,0.3,0,2,75,1000,75000,2.06344451904297,1.01543084458678
"min",0.3," MCAR ",0,0.3,0,2,75,1000,75000,0.319547653198242,2.51706427293319
"mean",0.3," MCAR ",0,0.3,0,2,75,1000,75000,0.343895673751831,1.00872770295512
"LLS",0.3," MCAR ",0,0.3,0,2,75,1000,75000,5.67635794083277,22.7280915982004
