"Method","Miss","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Result_diff","NRMSE"
"mean",0.01,0,0,0.01,1,570,24,13680,0.0155866568247406,1.02509272726455
"mean",0.01,0.005,0.005,0,1,570,24,13680,0.0493975525505121,1.31295850108231
"mean",0.01,0,0.005,0.005,1,570,24,13680,0.0162597849761835,0.987562942270132
"mean",0.01,0.005,0,0.005,1,570,24,13680,0.0648121692321154,1.31340779743449
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,570,24,13680,0.0706464431509073,1.36956406077714
"mean",0.05,0,0.05,0,1,570,24,13680,0.0152129057220121,1.00077159372708
"mean",0.05,0.05,0,0,1,570,24,13680,0.106357347848099,4.09565253709772
"mean",0.05,0,0,0.05,1,570,24,13680,0.0156025046182163,1.0075009309733
"mean",0.05,0.025,0.025,0,1,570,24,13680,0.0502679348414234,1.3143338039736
"mean",0.05,0,0.025,0.025,1,570,24,13680,0.0144000267539625,1.00123065353333
"mean",0.05,0.025,0,0.025,1,570,24,13680,0.0542760555659848,1.35759676700068
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,570,24,13680,0.0573089546886854,1.34296572148941
"mean",0.01,0,0.01,0,1,825,43,35475,0.0143693557867282,0.998953876507436
"mean",0.01,0.01,0,0,1,825,43,35475,0.113555220685384,5.1180674286756
"mean",0.01,0,0,0.01,1,825,43,35475,0.0162877132803578,1.00093126459973
"mean",0.01,0.005,0.005,0,1,825,43,35475,0.0396420829554566,1.52186492681007
"mean",0.01,0,0.005,0.005,1,825,43,35475,0.0136083611612881,1.00485104077018
"mean",0.01,0.005,0,0.005,1,825,43,35475,0.0708430055953222,1.54013318910592
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,825,43,35475,0.0613422408364215,1.60620857979461
"mean",0.05,0,0.05,0,1,825,43,35475,0.0149265560214439,0.999244546439423
"mean",0.05,0.05,0,0,1,825,43,35475,0.0930890617656562,3.36591557644151
"mean",0.05,0,0,0.05,1,825,43,35475,0.0155312205775353,1.00089525217078
"mean",0.05,0.025,0.025,0,1,825,43,35475,0.0476259577693949,1.36904389007687
"mean",0.05,0,0.025,0.025,1,825,43,35475,0.0158029229734681,0.999972807655191
